
--- Testing Combo: B=8, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=8.8% | Loss=2.293 | E=66.4J | D=142.5sym
   R4  : Acc=17.1% | Loss=2.279 | E=112.6J | D=282.2sym
   R6  : Acc=35.5% | Loss=2.249 | E=163.2J | D=412.5sym
   R8  : Acc=48.0% | Loss=2.155 | E=227.5J | D=554.0sym
   R10 : Acc=55.6% | Loss=1.795 | E=293.6J | D=688.8sym
   R12 : Acc=71.5% | Loss=1.070 | E=358.2J | D=829.5sym
   R14 : Acc=78.8% | Loss=0.652 | E=422.9J | D=984.2sym
   R16 : Acc=81.0% | Loss=0.721 | E=494.5J | D=1126.8sym
   R18 : Acc=84.0% | Loss=0.799 | E=557.0J | D=1270.5sym
   R20 : Acc=86.7% | Loss=0.650 | E=619.0J | D=1421.8sym
   R22 : Acc=88.5% | Loss=0.448 | E=672.0J | D=1554.8sym
   R24 : Acc=90.1% | Loss=0.330 | E=732.6J | D=1701.5sym
   R26 : Acc=90.9% | Loss=0.307 | E=789.3J | D=1842.5sym
   R28 : Acc=91.5% | Loss=0.311 | E=835.2J | D=1995.5sym
   R30 : Acc=92.3% | Loss=0.279 | E=902.4J | D=2136.2sym
   R32 : Acc=93.4% | Loss=0.228 | E=966.6J | D=2291.0sym
   R34 : Acc=93.8% | Loss=0.196 | E=1032.0J | D=2437.0sym
   R36 : Acc=94.1% | Loss=0.179 | E=1093.9J | D=2584.2sym
   R38 : Acc=94.3% | Loss=0.170 | E=1143.9J | D=2721.5sym
   R40 : Acc=94.8% | Loss=0.159 | E=1210.3J | D=2868.2sym
   R42 : Acc=95.4% | Loss=0.146 | E=1282.1J | D=2993.8sym
   R44 : Acc=95.8% | Loss=0.136 | E=1341.0J | D=3125.2sym
   R46 : Acc=96.0% | Loss=0.127 | E=1391.9J | D=3248.0sym
   R48 : Acc=96.3% | Loss=0.120 | E=1465.0J | D=3391.8sym
   R50 : Acc=96.4% | Loss=0.114 | E=1524.0J | D=3530.8sym
   R52 : Acc=96.5% | Loss=0.109 | E=1577.9J | D=3679.5sym
   R54 : Acc=96.7% | Loss=0.104 | E=1636.3J | D=3820.5sym
   R56 : Acc=96.9% | Loss=0.100 | E=1698.2J | D=3966.5sym
   R58 : Acc=96.9% | Loss=0.096 | E=1766.8J | D=4119.0sym
   R60 : Acc=97.0% | Loss=0.093 | E=1828.6J | D=4260.8sym
   R62 : Acc=97.2% | Loss=0.090 | E=1891.2J | D=4401.0sym
   R64 : Acc=97.2% | Loss=0.087 | E=1962.3J | D=4541.2sym
   R66 : Acc=97.3% | Loss=0.084 | E=2037.8J | D=4687.8sym
   R68 : Acc=97.5% | Loss=0.081 | E=2103.1J | D=4821.5sym
   R70 : Acc=97.5% | Loss=0.079 | E=2157.2J | D=4955.2sym
   R72 : Acc=97.5% | Loss=0.078 | E=2205.0J | D=5071.0sym
   R74 : Acc=97.6% | Loss=0.076 | E=2277.9J | D=5215.0sym
   R76 : Acc=97.5% | Loss=0.075 | E=2318.2J | D=5369.5sym
   R78 : Acc=97.6% | Loss=0.074 | E=2385.7J | D=5505.2sym
   R80 : Acc=97.6% | Loss=0.073 | E=2444.9J | D=5661.8sym
   R82 : Acc=97.7% | Loss=0.072 | E=2505.5J | D=5820.2sym
   R84 : Acc=97.7% | Loss=0.070 | E=2562.1J | D=5970.0sym
   R86 : Acc=97.7% | Loss=0.069 | E=2633.1J | D=6126.8sym
   R88 : Acc=97.8% | Loss=0.068 | E=2693.2J | D=6283.8sym
   R90 : Acc=97.8% | Loss=0.068 | E=2761.7J | D=6415.5sym
   R92 : Acc=97.8% | Loss=0.067 | E=2831.7J | D=6553.5sym
   R94 : Acc=97.8% | Loss=0.067 | E=2890.1J | D=6706.8sym
   R96 : Acc=97.8% | Loss=0.066 | E=2947.7J | D=6834.8sym
   R98 : Acc=97.8% | Loss=0.065 | E=3005.9J | D=6981.5sym
   R100: Acc=97.9% | Loss=0.064 | E=3068.9J | D=7135.5sym
>> Scheme: IDEAL ...
   R2  : Acc=14.0% | Loss=2.297 | E=0.0J | D=0.0sym
   R4  : Acc=19.3% | Loss=2.278 | E=0.0J | D=0.0sym
   R6  : Acc=32.2% | Loss=2.229 | E=0.0J | D=0.0sym
   R8  : Acc=44.3% | Loss=2.053 | E=0.0J | D=0.0sym
   R10 : Acc=54.6% | Loss=1.525 | E=0.0J | D=0.0sym
   R12 : Acc=69.6% | Loss=0.912 | E=0.0J | D=0.0sym
   R14 : Acc=78.7% | Loss=0.719 | E=0.0J | D=0.0sym
   R16 : Acc=81.2% | Loss=0.874 | E=0.0J | D=0.0sym
   R18 : Acc=82.4% | Loss=0.882 | E=0.0J | D=0.0sym
   R20 : Acc=85.2% | Loss=0.572 | E=0.0J | D=0.0sym
   R22 : Acc=88.3% | Loss=0.393 | E=0.0J | D=0.0sym
   R24 : Acc=89.2% | Loss=0.371 | E=0.0J | D=0.0sym
   R26 : Acc=90.7% | Loss=0.328 | E=0.0J | D=0.0sym
   R28 : Acc=92.4% | Loss=0.257 | E=0.0J | D=0.0sym
   R30 : Acc=93.8% | Loss=0.202 | E=0.0J | D=0.0sym
   R32 : Acc=94.4% | Loss=0.176 | E=0.0J | D=0.0sym
   R34 : Acc=94.7% | Loss=0.164 | E=0.0J | D=0.0sym
   R36 : Acc=95.1% | Loss=0.153 | E=0.0J | D=0.0sym
   R38 : Acc=95.5% | Loss=0.138 | E=0.0J | D=0.0sym
   R40 : Acc=95.9% | Loss=0.123 | E=0.0J | D=0.0sym
   R42 : Acc=96.2% | Loss=0.112 | E=0.0J | D=0.0sym
   R44 : Acc=96.4% | Loss=0.106 | E=0.0J | D=0.0sym
   R46 : Acc=96.6% | Loss=0.101 | E=0.0J | D=0.0sym
   R48 : Acc=96.8% | Loss=0.096 | E=0.0J | D=0.0sym
   R50 : Acc=97.0% | Loss=0.091 | E=0.0J | D=0.0sym
   R52 : Acc=97.1% | Loss=0.087 | E=0.0J | D=0.0sym
   R54 : Acc=97.2% | Loss=0.084 | E=0.0J | D=0.0sym
   R56 : Acc=97.2% | Loss=0.081 | E=0.0J | D=0.0sym
   R58 : Acc=97.3% | Loss=0.078 | E=0.0J | D=0.0sym
   R60 : Acc=97.4% | Loss=0.075 | E=0.0J | D=0.0sym
   R62 : Acc=97.5% | Loss=0.073 | E=0.0J | D=0.0sym
   R64 : Acc=97.5% | Loss=0.070 | E=0.0J | D=0.0sym
   R66 : Acc=97.6% | Loss=0.068 | E=0.0J | D=0.0sym
   R68 : Acc=97.7% | Loss=0.067 | E=0.0J | D=0.0sym
   R70 : Acc=97.7% | Loss=0.065 | E=0.0J | D=0.0sym
   R72 : Acc=97.8% | Loss=0.064 | E=0.0J | D=0.0sym
   R74 : Acc=97.8% | Loss=0.063 | E=0.0J | D=0.0sym
   R76 : Acc=97.9% | Loss=0.062 | E=0.0J | D=0.0sym
   R78 : Acc=97.9% | Loss=0.061 | E=0.0J | D=0.0sym
   R80 : Acc=97.9% | Loss=0.059 | E=0.0J | D=0.0sym
   R82 : Acc=97.9% | Loss=0.058 | E=0.0J | D=0.0sym
   R84 : Acc=98.0% | Loss=0.057 | E=0.0J | D=0.0sym
   R86 : Acc=98.0% | Loss=0.056 | E=0.0J | D=0.0sym
   R88 : Acc=98.0% | Loss=0.055 | E=0.0J | D=0.0sym
   R90 : Acc=98.1% | Loss=0.054 | E=0.0J | D=0.0sym
   R92 : Acc=98.1% | Loss=0.054 | E=0.0J | D=0.0sym
   R94 : Acc=98.1% | Loss=0.053 | E=0.0J | D=0.0sym
   R96 : Acc=98.1% | Loss=0.053 | E=0.0J | D=0.0sym
   R98 : Acc=98.2% | Loss=0.052 | E=0.0J | D=0.0sym
   R100: Acc=98.2% | Loss=0.051 | E=0.0J | D=0.0sym
>> Scheme: UNIFORM ...
   R2  : Acc=10.3% | Loss=2.302 | E=448.1J | D=212.0sym
   R4  : Acc=10.3% | Loss=2.291 | E=919.1J | D=398.0sym
   R6  : Acc=13.9% | Loss=2.268 | E=1388.4J | D=596.0sym
   R8  : Acc=52.3% | Loss=2.213 | E=1830.6J | D=782.0sym
   R10 : Acc=60.3% | Loss=2.042 | E=2262.9J | D=988.0sym
   R12 : Acc=64.4% | Loss=1.519 | E=2670.1J | D=1174.0sym
   R14 : Acc=70.8% | Loss=0.877 | E=3197.7J | D=1378.0sym
   R16 : Acc=74.2% | Loss=0.871 | E=3632.5J | D=1552.0sym
   R18 : Acc=77.8% | Loss=1.104 | E=4058.8J | D=1734.0sym
   R20 : Acc=83.1% | Loss=1.021 | E=4500.3J | D=1978.0sym
   R22 : Acc=85.7% | Loss=0.725 | E=5016.1J | D=2184.0sym
   R24 : Acc=87.8% | Loss=0.429 | E=5364.6J | D=2382.0sym
   R26 : Acc=88.3% | Loss=0.368 | E=5664.6J | D=2574.0sym
   R28 : Acc=87.2% | Loss=0.435 | E=6057.5J | D=2746.0sym
   R30 : Acc=88.2% | Loss=0.419 | E=6457.0J | D=2938.0sym
   R32 : Acc=90.9% | Loss=0.310 | E=6869.4J | D=3122.0sym
   R34 : Acc=93.3% | Loss=0.220 | E=7370.0J | D=3340.0sym
   R36 : Acc=93.5% | Loss=0.209 | E=7768.4J | D=3514.0sym
   R38 : Acc=92.9% | Loss=0.227 | E=8143.5J | D=3684.0sym
   R40 : Acc=93.5% | Loss=0.215 | E=8581.8J | D=3880.0sym
   R42 : Acc=94.5% | Loss=0.179 | E=8959.6J | D=4064.0sym
   R44 : Acc=95.2% | Loss=0.151 | E=9433.7J | D=4258.0sym
   R46 : Acc=95.5% | Loss=0.142 | E=9903.8J | D=4466.0sym
   R48 : Acc=95.2% | Loss=0.144 | E=10298.1J | D=4634.0sym
   R50 : Acc=95.3% | Loss=0.143 | E=10712.6J | D=4810.0sym
   R52 : Acc=95.6% | Loss=0.137 | E=11109.0J | D=4992.0sym
   R54 : Acc=96.2% | Loss=0.125 | E=11533.4J | D=5148.0sym
   R56 : Acc=96.3% | Loss=0.116 | E=12005.3J | D=5338.0sym
   R58 : Acc=96.4% | Loss=0.112 | E=12431.1J | D=5516.0sym
   R60 : Acc=96.5% | Loss=0.109 | E=12877.1J | D=5708.0sym
   R62 : Acc=96.6% | Loss=0.105 | E=13277.1J | D=5866.0sym
   R64 : Acc=96.7% | Loss=0.100 | E=13704.9J | D=6034.0sym
   R66 : Acc=96.7% | Loss=0.099 | E=14179.4J | D=6218.0sym
   R68 : Acc=96.8% | Loss=0.100 | E=14628.3J | D=6406.0sym
   R70 : Acc=96.7% | Loss=0.100 | E=15066.2J | D=6596.0sym
   R72 : Acc=96.8% | Loss=0.096 | E=15449.9J | D=6774.0sym
   R74 : Acc=97.0% | Loss=0.090 | E=15885.5J | D=6954.0sym
   R76 : Acc=97.1% | Loss=0.087 | E=16400.8J | D=7144.0sym
   R78 : Acc=97.2% | Loss=0.085 | E=16816.5J | D=7340.0sym
   R80 : Acc=97.2% | Loss=0.084 | E=17189.6J | D=7554.0sym
   R82 : Acc=97.3% | Loss=0.083 | E=17591.7J | D=7772.0sym
   R84 : Acc=97.3% | Loss=0.081 | E=17992.9J | D=7964.0sym
   R86 : Acc=97.3% | Loss=0.080 | E=18444.4J | D=8164.0sym
   R88 : Acc=97.3% | Loss=0.080 | E=18891.7J | D=8368.0sym
   R90 : Acc=97.4% | Loss=0.080 | E=19246.3J | D=8534.0sym
   R92 : Acc=97.4% | Loss=0.079 | E=19709.3J | D=8708.0sym
   R94 : Acc=97.6% | Loss=0.077 | E=20082.2J | D=8912.0sym
   R96 : Acc=97.7% | Loss=0.074 | E=20459.5J | D=9086.0sym
   R98 : Acc=97.7% | Loss=0.073 | E=20854.9J | D=9256.0sym
   R100: Acc=97.6% | Loss=0.073 | E=21367.0J | D=9438.0sym
>> Scheme: ANDP ...
   R2  : Acc=10.4% | Loss=2.292 | E=423.8J | D=640.0sym
