
--- Testing Combo: B=16, P_max=30.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_non-iid_16bit_30.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R2  : Acc=10.5% | Loss=2.303 | E=118.2J | D=162.2sym
   R4  : Acc=10.2% | Loss=2.299 | E=255.3J | D=366.5sym
   R6  : Acc=9.8% | Loss=2.294 | E=416.8J | D=534.0sym
   R8  : Acc=9.8% | Loss=2.300 | E=565.2J | D=724.5sym
   R10 : Acc=9.9% | Loss=2.303 | E=705.6J | D=926.2sym
   R12 : Acc=27.8% | Loss=2.217 | E=853.4J | D=1105.2sym
   R14 : Acc=34.9% | Loss=2.075 | E=983.2J | D=1285.2sym
   R16 : Acc=36.8% | Loss=1.974 | E=1176.7J | D=1453.2sym
   R18 : Acc=35.7% | Loss=1.857 | E=1338.3J | D=1618.0sym
   R20 : Acc=49.8% | Loss=1.707 | E=1495.2J | D=1784.2sym
   R22 : Acc=55.9% | Loss=1.588 | E=1626.2J | D=1974.2sym
   R24 : Acc=56.6% | Loss=1.507 | E=1770.7J | D=2136.8sym
   R26 : Acc=56.1% | Loss=1.435 | E=1915.8J | D=2312.0sym
   R28 : Acc=56.0% | Loss=1.360 | E=2031.7J | D=2474.2sym
   R30 : Acc=56.9% | Loss=1.277 | E=2173.9J | D=2650.2sym
   R32 : Acc=59.1% | Loss=1.188 | E=2305.3J | D=2863.8sym
   R34 : Acc=62.1% | Loss=1.101 | E=2486.6J | D=3047.5sym
   R36 : Acc=66.7% | Loss=1.024 | E=2613.6J | D=3212.0sym
   R38 : Acc=69.6% | Loss=0.959 | E=2756.0J | D=3415.5sym
   R40 : Acc=71.4% | Loss=0.910 | E=2921.3J | D=3581.8sym
   R42 : Acc=72.0% | Loss=0.879 | E=3072.3J | D=3757.8sym
   R44 : Acc=72.2% | Loss=0.857 | E=3256.0J | D=3932.0sym
   R46 : Acc=72.7% | Loss=0.833 | E=3408.0J | D=4122.2sym
   R48 : Acc=73.8% | Loss=0.805 | E=3507.2J | D=4294.8sym
   R50 : Acc=75.0% | Loss=0.777 | E=3645.9J | D=4470.8sym
   R52 : Acc=75.8% | Loss=0.756 | E=3821.9J | D=4662.0sym
   R54 : Acc=76.8% | Loss=0.734 | E=3996.3J | D=4829.0sym
   R56 : Acc=77.5% | Loss=0.711 | E=4154.1J | D=5005.8sym
   R58 : Acc=78.4% | Loss=0.690 | E=4308.4J | D=5171.5sym
   R60 : Acc=79.3% | Loss=0.670 | E=4442.3J | D=5334.5sym
   R62 : Acc=79.8% | Loss=0.650 | E=4583.3J | D=5510.8sym
   R64 : Acc=80.4% | Loss=0.630 | E=4720.4J | D=5704.0sym
   R66 : Acc=80.8% | Loss=0.613 | E=4876.2J | D=5870.8sym
   R68 : Acc=81.3% | Loss=0.598 | E=5050.6J | D=6050.8sym
   R70 : Acc=81.6% | Loss=0.586 | E=5268.7J | D=6249.0sym
   R72 : Acc=81.8% | Loss=0.574 | E=5414.5J | D=6428.8sym
   R74 : Acc=82.1% | Loss=0.562 | E=5557.5J | D=6606.5sym
   R76 : Acc=82.6% | Loss=0.551 | E=5721.3J | D=6789.0sym
   R78 : Acc=83.0% | Loss=0.540 | E=5871.2J | D=6968.2sym
   R80 : Acc=83.7% | Loss=0.528 | E=6027.8J | D=7147.8sym
   R82 : Acc=83.8% | Loss=0.521 | E=6214.3J | D=7330.8sym
   R84 : Acc=83.9% | Loss=0.515 | E=6379.5J | D=7508.0sym
   R86 : Acc=84.0% | Loss=0.508 | E=6486.9J | D=7668.2sym
   R88 : Acc=84.2% | Loss=0.503 | E=6639.3J | D=7858.2sym
   R90 : Acc=84.3% | Loss=0.498 | E=6761.7J | D=8020.2sym
   R92 : Acc=84.4% | Loss=0.490 | E=6895.4J | D=8219.5sym
   R94 : Acc=84.6% | Loss=0.482 | E=7027.8J | D=8384.2sym
   R96 : Acc=85.1% | Loss=0.476 | E=7138.7J | D=8559.0sym
   R98 : Acc=85.5% | Loss=0.470 | E=7305.8J | D=8739.0sym
   R100: Acc=85.9% | Loss=0.464 | E=7479.6J | D=8933.0sym
>> Scheme: IDEAL ...
   R2  : Acc=11.4% | Loss=2.307 | E=0.0J | D=0.0sym
   R4  : Acc=13.5% | Loss=2.305 | E=0.0J | D=0.0sym
   R6  : Acc=18.5% | Loss=2.306 | E=0.0J | D=0.0sym
   R8  : Acc=12.7% | Loss=2.338 | E=0.0J | D=0.0sym
   R10 : Acc=10.5% | Loss=2.412 | E=0.0J | D=0.0sym
